row_id,order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,country,city,state,postal_code,region,product_id,category,sub-category,product_name,unit_price,unit_cost,quantity,discount,sales,profit,date_id,year,quarter,month,month_name,day,day_of_week,total_cost,calculated_profit,shipping_days
7981,CA-2014-103800,2014-01-03,2014-01-07,Standard Class,DP-13000,Darren Powers,Consumer,United States,Houston,Texas,77095,Central,CND-GUM-002,Candy,Gummy,Fruit Gummies,3.2,2.08,2,0.2,5.12,1.59,20140103,2014,Q1,1,January,3,Friday,4.16,2.24,4
740,CA-2014-112326,2014-01-04,2014-01-08,Standard Class,PO-19195,Phillina Ober,Home Office,United States,Naperville,Illinois,60540,Central,SNK-POP-001,Snacks,Popcorn,Caramel Popcorn,3.4,2.28,3,0.2,8.16,2.28,20140104,2014,Q1,1,January,4,Saturday,6.84,3.36,4
741,CA-2014-112326,2014-01-04,2014-01-08,Standard Class,PO-19195,Phillina Ober,Home Office,United States,Naperville,Illinois,60540,Central,CHO-MLK-002,Chocolate,Milk Chocolate,Almond Chocolate,4.6,2.81,3,0.2,11.04,3.75,20140104,2014,Q1,1,January,4,Saturday,8.43,5.37,4
742,CA-2014-112326,2014-01-04,2014-01-08,Standard Class,PO-19195,Phillina Ober,Home Office,United States,Naperville,Illinois,60540,Central,CND-GUM-001,Candy,Gummy,Bear Gummies,2.8,1.85,2,0.8,1.12,0.19,20140104,2014,Q1,1,January,4,Saturday,3.7,1.9,4
1760,CA-2014-141817,2014-01-05,2014-01-12,Standard Class,MB-18085,Mick Brown,Consumer,United States,Philadelphia,Pennsylvania,19143,East,CHO-TRU-001,Chocolate,Truffle,Chocolate Truffle Box,8.9,4.9,3,0.2,21.36,8.76,20140105,2014,Q1,1,January,5,Sunday,14.7,12.0,7
7181,CA-2014-106054,2014-01-06,2014-01-07,First Class,JO-15145,Jack O'Briant,Corporate,United States,Athens,Georgia,30605,South,SNK-CHP-001,Snacks,Chips,Potato Chips,2.9,2.06,3,0.0,8.7,2.35,20140106,2014,Q1,1,January,6,Monday,6.18,2.52,1
5328,CA-2014-130813,2014-01-06,2014-01-08,Second Class,LS-17230,Lycoris Saunders,Consumer,United States,Los Angeles,California,90049,West,CND-LOP-002,Candy,Lollipop,Cola Lollipop,1.6,1.15,3,0.0,4.8,1.34,20140106,2014,Q1,1,January,6,Monday,3.45,1.35,2
7475,CA-2014-167199,2014-01-06,2014-01-10,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,CND-LOP-001,Candy,Lollipop,Strawberry Lollipop,1.5,1.08,9,0.0,13.5,3.65,20140106,2014,Q1,1,January,6,Monday,9.72,3.78,4
7476,CA-2014-167199,2014-01-06,2014-01-10,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,CND-HRD-001,Candy,Hard Candy,Mint Candy,1.8,1.26,2,0.0,3.6,1.04,20140106,2014,Q1,1,January,6,Monday,2.52,1.08,4
7477,CA-2014-167199,2014-01-06,2014-01-10,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,CHO-MLK-001,Chocolate,Milk Chocolate,Milk Bar,3.8,2.36,2,0.0,7.6,2.81,20140106,2014,Q1,1,January,6,Monday,4.72,2.88,4
